City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,atherton,53.5237,-2.4935,8.49,95,100,0.45,GB,1702413256
83,sogndal,61.2283,7.1003,-2.79,100,75,0.0,NO,1702413256
84,avarua,-21.2078,-159.775,27.03,78,100,7.2,CK,1702413256
85,vorgashor,67.5833,63.95,-17.5,95,100,5.11,RU,1702413256
86,barmer,25.75,71.3833,18.89,35,100,1.67,IN,1702413257
87,kone,-21.0595,164.8658,27.01,59,35,2.02,NC,1702413257
88,pocito,-31.6833,-68.5833,34.66,25,0,8.08,AR,1702413257
89,tura,25.5198,90.2201,15.27,86,72,0.79,IN,1702413257
90,ribeira brava,32.65,-17.0667,20.4,67,28,1.72,PT,1702413257
91,manokwari,-0.8667,134.0833,26.19,83,100,2.39,ID,1702413257
92,tiksi,71.6872,128.8694,-21.03,99,100,5.4,RU,1702413258
93,guiberoua,6.2392,-6.1727,26.07,74,91,1.46,CI,1702413258
94,saquarema,-22.92,-42.5103,26.08,77,30,2.87,BR,1702413258
95,coro,11.4045,-69.6734,28.45,73,1,8.76,VE,1702413220
96,crane,31.3974,-102.3501,14.41,56,100,10.68,US,1702413258
97,margate,51.3813,1.3862,8.83,90,86,2.68,GB,1702413259
98,pacific grove,36.6177,-121.9166,19.1,65,0,4.92,US,1702413259
99,ibarreta,-25.2144,-59.8585,35.91,41,59,4.67,AR,1702413259
100,vadso,70.0744,29.7487,-8.91,92,75,3.6,NO,1702413259
101,yuzhno-kurilsk,44.0306,145.8556,0.76,76,32,10.04,RU,1702413259
102,fortuna,40.5982,-124.1573,13.14,100,100,0.0,US,1702413259
103,college,64.8569,-147.8028,-14.19,84,100,2.57,US,1702413006
104,nuuk,64.1835,-51.7216,-5.66,79,100,3.09,GL,1702413260
105,lamu,-2.2717,40.902,27.05,84,89,4.37,KE,1702413260
106,skelleftea,64.7507,20.9528,-9.8,100,100,4.12,SE,1702413260
107,urangan,-25.3,152.9,23.76,69,100,4.44,AU,1702413260
108,nar'yan-mar,67.6713,53.087,-13.83,96,87,4.02,RU,1702413260
109,magalia,39.8121,-121.5783,15.62,36,0,2.68,US,1702412987
110,biloela,-24.4167,150.5,23.66,58,1,4.69,AU,1702413261
111,coquimbo,-29.9533,-71.3436,18.85,72,20,7.72,CL,1702413197
112,veinticinco de mayo,-35.4323,-60.1727,33.88,43,24,1.34,AR,1702413261
113,margaret river,-33.95,115.0667,16.05,89,3,2.56,AU,1702412986
114,vilyuchinsk,52.9306,158.4028,-11.71,83,100,2.38,RU,1702413261
115,diego de almagro,-26.3667,-70.05,29.44,13,10,5.44,CL,1702413089
116,amga,60.8953,131.9608,-29.45,97,100,3.44,RU,1702413261
117,trinity beach,-16.7888,145.6968,25.56,97,75,8.75,AU,1702413262
118,mogocha,53.7333,119.7667,-34.85,98,17,1.28,RU,1702413262
119,wailua homesteads,22.0669,-159.378,25.24,88,100,2.57,US,1702413262
120,salekhard,66.53,66.6019,-16.15,89,100,4.11,RU,1702413262
121,jamestown,42.097,-79.2353,6.77,56,0,8.23,US,1702413262
122,le vauclin,14.5452,-60.8388,28.03,69,20,5.66,MQ,1702413262
123,hithadhoo,-0.6,73.0833,27.85,74,34,2.44,MV,1702413263
124,longyearbyen,78.2186,15.6401,-10.09,67,75,7.2,SJ,1702413263
125,beolgyo,34.8449,127.3429,6.98,86,6,1.51,KR,1702413263
126,stanley,54.868,-1.6985,6.82,93,75,5.14,GB,1702413263
127,sitka,57.0531,-135.33,7.94,76,100,13.89,US,1702413263
128,igarka,67.4667,86.5833,-28.83,93,61,6.35,RU,1702413264
129,pangody,65.85,74.4859,-18.63,96,100,5.18,RU,1702413264
130,guerrero negro,27.9769,-114.0611,20.82,44,100,1.37,MX,1702413264
131,ejura,7.3856,-1.3562,25.24,25,0,0.33,GH,1702413264
132,keflavik,64.0049,-22.5624,3.24,100,100,6.69,IS,1702413264
133,santa cruz,-17.8,-63.1667,36.03,38,20,7.72,BO,1702413262
134,licheng,23.2955,113.8284,19.12,65,100,1.43,CN,1702413265
135,swift current,50.2834,-107.8014,1.45,64,0,5.66,CA,1702413265
136,ilhabela,-23.7781,-45.3581,23.61,73,72,1.78,BR,1702413265
137,arawa,-6.2132,155.5367,27.0,86,26,0.81,PG,1702413266
138,alice springs,-23.7,133.8833,16.75,67,0,2.57,AU,1702413266
139,mana,5.6592,-53.7767,26.67,84,99,4.63,GF,1702413266
140,ilulissat,69.2167,-51.1,-4.99,74,75,5.14,GL,1702413266
141,airway heights,47.6446,-117.5933,3.95,86,100,2.06,US,1702413267
142,kangasniemi,61.9936,26.6479,-8.99,95,100,3.91,FI,1702413267
143,bafq,31.6128,55.4107,11.07,32,100,0.86,IR,1702413267
